,sentence,label
0,master 's sun kau wanita jalang,BLANK BLANK BLANK COMMA COMMA DOT
1,kau baru saja mengumpat ya katakan itu pada hantu yang kau lihat,BLANK BLANK BLANK QUES DOT BLANK COMMA BLANK BLANK BLANK BLANK DOT
2,jadi kau marah karena ditinggal sendiri olehnya kau sangat menyukainya hingga memanggilnya seperti itu,BLANK BLANK BLANK BLANK BLANK BLANK COMMA BLANK BLANK COMMA BLANK BLANK BLANK DOT
3,jika kita bertemu nanti akan kusampaikan kalau kau masih sangat menyukainya sampaikan persis seperti yang kukatakan jangan kau ganti hal itu memang pantas untuknya,BLANK BLANK BLANK COMMA BLANK DOT BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK COMMA BLANK BLANK DOT BLANK BLANK BLANK BLANK DOT
4,wanita jalang ya aku mengerti,BLANK DOT BLANK BLANK DOT
5,orang jahat orang jahat mengatakan hal itu mereka semua masih merindukannya bukan seperti itu bukan seperti itu,BLANK COMMA BLANK COMMA BLANK BLANK COMMA BLANK BLANK BLANK DOT BLANK BLANK DOT BLANK BLANK DOT
6,jika kau mengatakan seperti itu padanya enyahlah nona tae meskipun begitu aku senang ternyata kau mempercayaiku aku tidak percaya,BLANK BLANK BLANK BLANK BLANK COMMA COMMA BLANK DOT BLANK COMMA BLANK BLANK BLANK BLANK DOT BLANK BLANK DOT
7,jangan merasa senang waktu itu aku sangat takut karena aku sendirian,BLANK BLANK DOT BLANK COMMA BLANK BLANK BLANK BLANK BLANK DOT
8,saat aku bertemu denganmu seakan aku menemukan secercah cahaya kamu tidak tahu betapa aku merasa aman memiliki perlindungan bom aku bisa lari ketika sangat menakutkan itu juga tidak benar,BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK DOT
9,aku perlindungan bom mu kamu bilang coba berlari padaku dan menggetuk,BLANK BLANK BLANK COMMA BLANK QUES BLANK BLANK BLANK BLANK DOT
10,aku tidak akan pernah membukanya tolong buka aku tidak akan buka tidak akan pernah,BLANK BLANK BLANK BLANK DOT BLANK DOT BLANK BLANK BLANK COMMA BLANK BLANK DOT
11,aku hanya punya kamu tempat berlari aku sangat ketakutan tolong buka,BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK DOT BLANK DOT
12,episode3 itu sepatu desainer,BLANK BLANK BLANK DOT
13,mengapa ada disini apakah hanya ada satu,BLANK BLANK QUES BLANK BLANK BLANK QUES
14,aku bertanyatanya jika pusat kehilangan dan ditemukan masih dibuka sepatuku,BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT DOT
15,sepatuku disebalah sana,COMMA BLANK DOT
16,aku mendengarnya juga oh apakah kamu baikbaik saja ya,BLANK BLANK DOT COMMA BLANK BLANK BLANK QUES DOT
17,apa yang terjadi sepertinya tadi aku tersandung sesuatu ada apa,BLANK BLANK QUES BLANK BLANK BLANK BLANK DOT BLANK QUES
18,oh kang woo dia jatuh dari atas tangga coba gerakkan kakimu,COMMA BLANK DOT BLANK BLANK BLANK BLANK DOT BLANK BLANK DOT
19,oh sakit tidak ada apaapa disana,DOT DOT BLANK BLANK BLANK DOT
20,kuyakin tadi ada pak presdir lantainya licin masih ada sisa lilin disini,BLANK BLANK COMMA BLANK DOT BLANK COMMA BLANK BLANK BLANK BLANK DOT
21,petugas kebersihan bersihkan lagi sekarang sekarang,BLANK COMMA BLANK DOT QUES DOT
22,dan kau kepala keamanan bawalah dia ke rumah sakit baik,BLANK COMMA BLANK COMMA BLANK BLANK BLANK BLANK DOT DOT
23,sepertinya kita tidak bisa pulang bersama hari ini aku juga harus membersihkan ini jaga dia baikbaik,BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK DOT BLANK BLANK DOT
24,sampai ketemu di rumah sampai jumpa kang woo dan aku tinggal di,BLANK BLANK BLANK DOT BLANK DOT BLANK BLANK BLANK COMMA BLANK BLANK
25,sudahlah aku tidak peduli asisten manajer kang bilang kalau dia punya dokumen yang harus diberikan ke wakil presdir jadi aku harus kesana,COMMA BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT BLANK BLANK BLANK DOT
26,kau pergilah aku akan pulang sendiri,BLANK DOT BLANK BLANK BLANK DOT
27,memangnya tidak apa tentu saja oh itu mengejutkanku,BLANK BLANK QUES BLANK DOT COMMA BLANK DOT
28,apa apakah aku tidak pernah mengendarai mobil ini aku rasa sekali aku sedang mau pulang ke rumah dengan pria seperti orang biasa,QUES BLANK BLANK BLANK BLANK BLANK BLANK QUES BLANK COMMA COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
29,itu sepatu cantik aku ingin memakai seperti ini dan pergi berkencan,BLANK QUES DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
30,apakah hanya ada satu menca ri rumah,BLANK BLANK BLANK QUES COMMA COMMA DOT
31,aku akan mengarahkan rutenya itu aku membacanya,BLANK BLANK BLANK DOT COMMA BLANK DOT
32,aku membacanya kamu berhasil kamu berhasil,BLANK DOT BLANK DOT BLANK DOT
33,tuan ceo oh mengejutkanku,BLANK DOT COMMA DOT
34,buka pintu buka pintu aku tidak akan buka,BLANK COMMA BLANK COMMA BLANK BLANK BLANK DOT
35,pergilah apa ini ada apa ini kamu membuat keributan seperti itu,DOT BLANK QUES BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES
36,tuan wom,DOT BLANK
37,pemandangan bagus terima kasih,BLANK DOT BLANK DOT
38,dimana sepatumu kenapa kau memegang sepatu itu pemilik sepatu ini tadi mengejarku,BLANK QUES BLANK BLANK BLANK BLANK COMMA BLANK BLANK BLANK BLANK DOT
39,kurasa pemiliknya sudah mati sopirnya mungkin meninggal seketika tidakkah kamu pikir ini adalah mengemudi dalam keadaan mabuk,COMMA COMMA BLANK COMMA BLANK BLANK BLANK DOT BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK QUES
40,lihat kakinya sepertinya dia sangat mabuk jadi dia mengemudi hanya dengan mengenakan satu sepatu saja,BLANK COMMA BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK BLANK DOT
